"","n","mu_pop","method","powerSS11","powerSS12","powerSSR11","powerSSR12","powerNS11","powerNS12","costSS11","costSS12","costSSR11","costSSR12","costNS11","costNS12","costSS11_Q025","costSS12_Q025","costSSR11_Q025","costSSR12_Q025","costNS11_Q025","costNS12_Q025","costSS11_Q975","costSS12_Q975","costSSR11_Q975","costSSR12_Q975","costNS11_Q975","costNS12_Q975","missSS11","missSS12","missSSR11","missSSR12","missNS11","missNS12"
"964",900,12.9499,"KK",0,0,0.708,0.727,0.803,0.831,3625.62,5393.6,4155.24,4463.46,5382,6453,3434.36,5333.28,3907.72,4211.88,5382,6453,3679.94,5595.16,4263.88,4576.02,5382,6453,0,0,0,0,0,0
"965",900,12.9499,"MF",0,0.067,0.716,0.752,0.798,0.828,4839.04,7539.2,5646.08,6190.76,6579,8118,4643.72,7470.819,5390.44,6059.68,6579,8118,4899.36,7742.52,5766.72,6456.84,6579,8118,0,0,0,0,0,0
"966",900,12.9499,"FP",0,0,0.507,0.546,0.604,0.646,4297.96,7033.8,4401.92,4584.76,7983,10269,4268.58,6839.4,4343.16,4377.48,7983,10269,4327.34,7086.6825,4460.68,4657.04,7983,10269,0,0,0.006,0.006,0,0
"967",900,49.7,"KK",0.026,0.38,0.846,0.859,0.888,0.897,4365.1,6420.32,5364.2,5976.3,5517,6588,4312.72,6364.16,5259.44,5867.76,5517,6588,4556.36,6476.532,5611.72,6227.88,5517,6588,0,0,0,0,0,0
"968",900,49.7,"MF",0.243,0.644,0.809,0.833,0.837,0.841,5566.64,8816.46,6831.28,7860.16,6714,8118,5506.32,8621.68,6710.64,7729.08,6579,8118,5759.88,8876.301,7082.76,8121.72,6714,8118,0,0,0,0,0,0
"969",900,49.7,"FP",0,0,0.628,0.653,0.699,0.736,4775.88,8049,5087.76,5366.28,7983,10269,4591.16,7831.5,4853.32,5243.96,7983,10269,4825.6,8134.8,5187.2,5623.6,7983,10269,0,0,0,0,0,0
"970",900,124.7,"KK",0.515,0.789,0.909,0.916,0.917,0.923,4921.25,7068.68,6206.5,6974.25,5517,6588,4734.84,7020.84,5968.68,6732.72,5517,6588,4968.8285,7112.36,6301.657,7072.8405,5517,6588,0,0,0,0,0,0
"971",900,124.7,"MF",0.618,0.829,0.831,0.857,0.849,0.866,6086.24,9420.32,7600.48,8856.68,6714,8253,6030.028,9376.339,7488.056,8685.407,6714,8253,6252.492,9459.36,7797.984,9145.473,6849,8388,0,0,0,0,0,0
"972",900,124.7,"FP",0,0,0.688,0.726,0.761,0.807,5166.26,9080.7,5733.52,6399.56,7983,10269,5107.5,8856.6,5616,6120,7983,10269,5364.5965,9179.7825,5995.193,6690.379,7983,10269,0,0,0,0,0,0
"973",910,2.8,"KK",0,0,0.575,0.614,0.657,0.693,3155,4512.28,3329.6,3477.2,5555.8,6628.2,3120.08,4331.52,3259.76,3404.84,5555.8,6628.2,3191.86,4558.04,3403.32,3553.58,5555.8,6628.2,0,0,0,0,0,0
"974",910,2.8,"MF",0,0,0.638,0.67,0.759,0.781,3988.92,6251.76,4330.04,4659.08,6620.6,8163.2,3941.08,6053.259,4234.36,4420.12,6620.6,8163.2,4171.76,6315.2,4560.72,4763.04,6620.6,8163.2,0,0,0,0,0,0
"975",910,2.8,"FP",0,0,0.044,0.022,0.563,0.579,4241.46,6582.3,4135.84,4148.32,8028.2,10459.6,4227.9,6555.9,4104.2,4109.4,8028.2,10459.6,4257.28,6615.3,4288.92,4305.56,8028.2,10459.6,0,0,0.757,0.757,0,0
"976",910,12.9499,"KK",0,0.001,0.736,0.759,0.808,0.835,3785.84,5424.8,4321.28,4629.92,5555.8,6628.2,3602.2915,5362.4,4089.183,4394.3195,5555.8,6628.2,3838.22,5620.12,4426.04,4738.46,5555.8,6628.2,0,0,0,0,0,0
"977",910,12.9499,"MF",0.001,0.057,0.759,0.793,0.808,0.836,4868.16,7575.8,5683.52,6229.64,6620.6,8163.2,4668.628,7502.6,5419.456,6089.407,6620.6,8163.2,4926.452,7781.56,5800.104,6491.313,6620.6,8163.2,0,0,0,0,0,0
"978",910,12.9499,"FP",0,0,0.51,0.551,0.603,0.648,4322.82,7066.8,4424.52,4607.36,8028.2,10459.6,4293.44,6875.7,4356.72,4388.96,8028.2,10459.6,4352.2,7126.2,4487.8,4685.2,8028.2,10459.6,0,0,0.019,0.019,0,0
"979",910,49.7,"KK",0.031,0.346,0.861,0.879,0.889,0.893,4396.14,6590.68,5406.88,6019.82,5555.8,6628.2,4334.06,6532.44,5282.72,5891.18,5555.8,6628.2,4587.4,6786,5654.4,6271.4,5555.8,6628.2,0,0,0,0,0,0
"980",910,49.7,"MF",0.229,0.65,0.796,0.823,0.805,0.832,5595.76,8859.16,6868.72,7899.04,6755.6,8163.2,5543.76,8665.6,6764.72,7786.04,6755.6,8163.2,5786.92,8915.28,7116.04,8156.08,6755.6,8163.2,0,0,0,0,0,0
